char,sim
𠀖,"['𠀗', '共', '壯', '𠀪', '扗', '圵', '註', '壮', '汢', '𢩿', '扯', '𡊲', '𠀫', '圤', '歮', '仕', '圱', '址', '卋', '辻']"
𠀗,"['𠀖', '共', '壯', '𠀫', '註', '𠀪', '扗', '岸', '垰', '𢩿', '圵', '呿', '圱', '圤', '哄', '垣', '扯', '壮', '肚', '𡊲']"
𠀧,"['𠄧', '巴', '已', '冎', '它', '岜', '𠯇', '冃', '岂', '彐', '黽', '甴', '凹', '鬯', '吕', '闫', '芑', '囙', '臣', '円']"
𠀨,"['忣', '𥝥', '极', '昅', '阪', '𥄫', '衱', '趿', '汲', '圾', '恹', '郰', '𧿨', '伋', '彶', '忉', '䏜', '吸', '臤', '聗']"
𠀪,"['𠀫', '其', '𠀖', '茸', '甚', '冉', '卋', '𠀗', '萁', '咠', '共', '茊', '葚', '𠶗', '再', '诖', '註', '茁', '埴', '眭']"
𠀫,"['𠀪', '其', '萁', '甚', '茸', '𠀗', '貞', '𠀖', '昔', '共', '真', '葚', '葺', '箕', '茊', '苣', '埴', '蚩', '註', '咠']"
𠀲,"['乃', '𥒥', '𨑜', '巧', '豗', '邝', '圢', '𤿦', '迈', '𡥥', '𧾿', '𤬪', '迓', '纩', '拸', '玎', '诩', '迅', '𡉖', '垞']"
𠀳,"['呌', '毕', '壮', '岕', '翆', '挲', '芧', '寽', '垰', '兆', '岝', '郛', '苄', '𡬷', '姕', '汴', '夰', '斝', '圤', '洱']"
𠀴,"['抴', '𠶯', '跇', '𤬪', '玴', '㤕', '吓', '𥐨', '枻', '柮', '础', '饳', '忚', '怈', '𡭱', '趉', '垇', '𤮾', '坉', '诎']"
𠀺,"['虱', '厠', '鼠', '屑', '厧', '颪', '氥', '廁', '嵐', '朚', '凮', '𠃅', '屈', '廊', '庾', '𩄏', '廎', '凬', '㕑', '庮']"
𠀿,"['𠱈', '咴', '㕭', '吹', '𥰊', '吱', '坎', '唻', '吸', '呋', '𣍋', '唆', '吠', '炞', '吓', '㖪', '㖅', '𢇉', '哬', '𠲺']"
𠁀,"['贳', '貰', '枼', '枻', '紲', '㤨', '抴', '怈', '趉', '绁', '髰', '芸', '墺', '坹', '泄', '世', '𦵛', '玴', '袣', '薳']"
𠁂,"['睹', '堵', '𢱏', '𢵋', '都', '诸', '暏', '钉', '諸', '擆', '偌', '陏', '訂', '躇', '谐', '埼', '𣗓', '褚', '赭', '郁']"
𠁄,"['倫', '惀', '𢀧', '𣄇', '龥', '踚', '碖', '埨', '睔', '棆', '㫻', '𣍋', '𧛈', '腀', '𧹪', '𠓻', '禴', '𡃋', '𠗣', '𣘈']"
𠁆,"['窴', '叠', '賨', '査', '疂', '寊', '宣', '奤', '寘', '巹', '查', '賌', '冟', '崈', '萯', '宧', '亳', '簠', '嫑', '罿']"
𠁑,"['𧜵', '𢄩', '𣑎', '𣍋', '墆', '褠', '𦄂', '𥰊', '𡓎', '𢭿', '穠', '僀', '慚', '𧝓', '筛', '𤮾', '滯', '𣌹', '𢸜', '禫']"
𠁔,"['騁', '聘', '骋', '腭', '𥺒', '鳄', '𥈭', '鄂', '鰐', '軆', '娉', '聹', '𨂺', '𡎣', '梬', '顎', '暷', '崿', '蹲', '膞']"
𠁙,"['窄', '靠', '痄', '𨐷', '詐', '筰', '蔣', '諸', '澹', '𩅻', '挛', '穽', '𦵗', '𩅚', '許', '苲', '岝', '蒋', '霑', '歪']"
𠁚,"['儈', '𡑭', '𨆝', '澮', '鄫', '憎', '𩠴', '𥖩', '噲', '僧', '徻', '璯', '蹭', '鄶', '膾', '甑', '鄑', '恰', '繪', '懀']"
𠁝,"['瑊', '緘', '减', '碱', '缄', '搣', '減', '𨀻', '㨔', '縅', '𦄅', '珹', '煘', '璥', '斌', '澂', '𢷄', '皷', '傶', '放']"
𠁟,"['𨃰', '豏', '濂', '謙', '稴', '濓', '熑', '谦', '槏', '溓', '隒', '𢐎', '慊', '縑', '尲', '𠔮', '𧞋', '搛', '賺', '䁠']"
𠁪,"['钟', '忡', '𡧲', '珅', '种', '𢪠', '𣐄', '𡨌', '坤', '仲', '𢗖', '衶', '迚', '帖', '帷', '𥄮', '神', '纴', '抻', '冲']"
𠁵,"['𠁹', '𠦺', '唭', '幟', '帔', '䀧', '𡁎', '帷', '帺', '珙', '映', '嗩', '懙', '嘞', '𣥱', '幀', '哄', '輁', '舆', '𢁸']"
𠁸,"['辢', '𣖢', '埣', '簳', '稡', '悴', '𠾹', '椊', '踤', '䘹', '簰', '𣒲', '箄', '輢', '梓', '輑', '鞞', '乾', '斡', '幹']"
𠁹,"['𠁵', '𡁎', '與', '懙', '晪', '唭', '啴', '映', '幝', '睓', '䀧', '呥', '幀', '𢷣', '钟', '𧌎', '賟', '幟', '㖂', '𡨌']"
𠁺,"['沖', '訷', '冲', '𥣽', '浺', '神', '𤁘', '砷', '𢃈', '抻', '𠁪', '衶', '𨁬', '𢪠', '韃', '敒', '柛', '种', '珅', '𡧲']"
𠁻,"['𦇒', '𥫌', '鼫', '𩟬', '䃹', '𡓃', '䖨', '𨇒', '砙', '磯', '𢁸', '磩', '磊', '幟', '石', '𥪝', '帔', '礪', '𩧍', '𥗐']"
𠂎,"['丒', '卬', '邱', '𤴔', '邔', '巧', '乃', '引', '丩', '弓', '以', '汒', '卟', '习', '讠', '羽', '沚', '刁', '刀', '丏']"
𠂪,"['𢙕', '杼', '杙', '𢪗', '㭁', '朳', '杋', '抃', '𢞄', '𢩾', '牀', '圦', '仿', '扑', '怩', '𠂫', '𣓦', '榔', '伪', '驸']"
𠂫,"['𢖱', '扔', '𤆈', '仍', '诩', '肑', '乃', '𢫚', '坍', '礽', '䄧', '𣱽', '𢗾', '邻', '𣅅', '邜', '引', '怩', '郛', '讱']"
𠃅,"['屓', '𥈿', '𩅜', '頭', '項', '頃', '寬', '贋', '眉', '匱', '厦', '賔', '屑', '厠', '𡮨', '𢩛', '頤', '頁', '覓', '頂']"
𠃊,"['匚', '匸', '亡', '〦', '已', '丄', '凵', '宀', '巳', '三', '二', '上', '冂', '己', '旦', '囙', '乚', '亠', '冖', '㔾']"
𠃌,"['刁', '乁', '勹', '广', '卩', '厂', '门', '乀', '习', '疒', '勺', '叼', '讠', '刂', '饣', '刀', '闩', '卪', '冂', '寸']"
𠃝,"['𠃣', '𢖮', '𠮙', '乪', '乙', '它', '乤', '立', '㲸', '之', '匹', '竝', '乥', '忆', '忑', '巫', '宐', '瓦', '肊', '砬']"
𠃣,"['𢖮', '𠃝', '𠮙', '乪', '乥', '㲸', '乤', '乙', '忆', '竝', '它', '𢘮', '立', '泣', '砬', '乴', '乷', '垃', '之', '𡴯']"
𠃤,"['完', '凥', '宺', '皃', '凫', '宂', '昻', '戹', '冠', '𨓢', '亢', '兕', '坃', '朮', '宗', '見', '兒', '兄', '皍', '氘']"
𠃩,"['𢒂', '從', '侘', '捻', '掺', '坭', '怭', '赴', '墋', '倦', '埞', '𠛌', '𠔭', '庀', '尯', '佬', '倒', '馐', '剼', '恱']"
𠃯,"['𠃷', '𥝎', '𠛌', '𠖈', '庀', '䇄', '宄', '忱', '私', '秀', '秃', '讫', '𠖯', '弦', '琬', '砭', '究', '𣭛', '忔', '仡']"
𠃱,"['乹', '亄', '歭', '軋', '轧', '乵', '剨', '乳', '乱', '扎', '懤', '剋', '𢃴', '悖', '跱', '愺', '刳', '弴', '慞', '硣']"
𠃷,"['𠃯', '𠖈', '𣭛', '迂', '𠛌', '𠄀', '忱', '𥩯', '弦', '圪', '𡦧', '𥯇', '𥝎', '䇄', '埶', '𡥵', '孔', '孰', '庀', '宂']"
𠄀,"['𡮈', '𥇽', '毦', '𡥵', '郛', '琈', '𣭻', '𢫅', '𦜘', '𢯚', '乳', '𠃷', '耽', '𣭲', '瑪', '𢫡', '琤', '掍', '訏', '犯']"
𠄜,"['榦', '𦾠', '幹', '肄', '䋖', '緯', '𦀺', '斡', '緙', '鞣', '乾', '軨', '轑', '轅', '綘', '鞂', '輓', '縺', '𨊰', '鞭']"
𠄦,"['笈', '叐', '岌', '爰', '庋', '宬', '夾', '宖', '宏', '窚', '宼', '叒', '変', '冣', '受', '裦', '庝', '亥', '犮', '𡙁']"
𠄧,"['𠀧', '巴', '已', '冎', '亡', '巳', '匸', '盀', '囙', '它', '己', '㔾', '凹', '凸', '曰', '𠯇', '甴', '冃', '叵', '匚']"
𠄩,"['仁', '伫', '𥄰', '诌', '啗', '𨑗', '怗', '𤽗', '讫', '何', '仨', '唅', '込', '哣', '𣲆', '汒', '䇛', '句', '饴', '臽']"
𠄯,"['𢫆', '泍', '㤓', '呠', '砵', '钵', '本', '缽', '体', '𡭦', '翉', '躰', '絊', '骵', '鉢', '𤵳', '來', '笨', '𡉿', '𠚐']"
𠄳,"['劸', '勍', '劲', '劢', '劼', '勘', '劾', '劻', '冠', '劫', '葧', '嵅', '劥', '勀', '効', '劶', '𠡚', '勃', '庋', '𠢑']"
𠄶,"['䇮', '註', '歪', '住', '往', '侄', '迕', '珪', '垤', '𥬨', '徃', '𤼸', '在', '䨙', '缶', '悜', '徨', '𥯓', '䇛', '径']"
𠄺,"['規', '根', '挸', '覑', '現', '䚀', '堄', '棿', '𡥵', '梘', '柅', '垠', '掍', '抳', '視', '𢲲', '拐', '埌', '脘', '氓']"
𠄻,"['𥦝', '蔴', '霖', '亲', '褎', '蓧', '窳', '蒜', '寐', '𦵠', '萊', '索', '檬', '禄', '忝', '𦼟', '袜', '寮', '庥', '槖']"
𠄼,"['𦣰', '諵', '南', '蹢', '𨡯', '齬', '黼', '𢆥', '柾', '腩', '𣦍', '𧣠', '璊', '𥈶', '𥄬', '𨈆', '喃', '𣦛', '萳', '𨠣']"
𠄽,"['蔣', '据', '撊', '窄', '抲', '𦾣', '疽', '痄', '埩', '斿', '擣', '𢱏', '𩅚', '搙', '拓', '宸', '埼', '厩', '㙤', '𣫲']"
𠅍,"['杧', '枕', '栊', '忱', '𣑁', '忙', '𣒣', '𣏒', '萙', '杚', '牤', '𣒾', '朽', '梽', '柉', '朹', '杞', '芁', '杌', '茿']"
